35.035// Avg:35.0175
35.070035// Avg:35.0350116666667
34,01793395// Avg:34,7807422375 /// Deviation: 3 // on 21:02:45
33,6777546105// Avg:34,5601447121 /// Deviation: 1 // on 21:02:45
33.7114323651105// Avg:34.4186926542684
33,0372037178083// Avg:34,221337091917 /// Deviation: 2 // on 21:02:46
33.0702409215261// Avg:34.0774500706181
33.1033111624476// Avg:33.9692124141547
33.1364144736101// Avg:33.8859326201003
33.1695508880837// Avg:33.8208070080988
33.2027204389718// Avg:33.7692997940048
33.2359231594107// Avg:33.728270822113
33.2691590825702// Avg:33.6954771264314
33.3024282416527// Avg:33.6692738674461
33.3357306698944// Avg:33.6484274175991
33.3690664005643// Avg:33.6319944165971
33,0353757365586// Avg:33,5988489343727 /// Deviation: 1 // on 21:02:54
33.0684111122952// Avg:33.5709311542634
33.1014795234075// Avg:33.5474585727206
33.1345810029309// Avg:33.5277977360639
33.1677155839338// Avg:33.5114303655126
33.2008832995178// Avg:33.497928319165
32,8688744665226// Avg:33,4717177419715 /// Deviation: 1 // on 21:03:02
32.9017433409891// Avg:33.4489187659322
32.9346450843301// Avg:33.4291390089475
32.9675797294144// Avg:33.4120442208167
33.0005473091438// Avg:33.3973479025426
33.033547856453// Avg:33.3848030733671
33.0665814043094// Avg:33.3741956843986
33.0996479857138// Avg:33.3653393070216
33.1327476336995// Avg:33.3580708172303
33.1658803813332// Avg:33.3522468646274
33.1990462617145// Avg:33.3477409645417
33.2322453079762// Avg:33.3444410886398
33.2654775532842// Avg:33.3422476571022
33.2987430308375// Avg:33.3410718563923
33.3320417738683// Avg:33.3408342226417
33.3653738156422// Avg:33.341463442975
33.3987391894578// Avg:33.3428953366371
33.4321379286473// Avg:33.3450719852227
33.4655700665759// Avg:33.3479409871597
33.4990356366425// Avg:33.3514548162174
33.5325346722792// Avg:33.3555702674916
33.5660672069514// Avg:33.3602479772573
33.5996332741584// Avg:33.3654520054508
33.6332329074326// Avg:33.3711494714504
